# Baby names
ಅಕಾರ್ಯಸುತಾ	അകാര്യസുതാ
ನಮೀಬಿಯಾ	നമീബിയാ
ನ್ಯೂ ಕ್ಯಾಲಿಡೋನಿಯಾ	ന്യൂ ക്യാലിഡോനിയാ
ನೈಜರ್	നൈജര്
ನಾರ್ಫೋಕ್ ದ್ವೀಪ	നാര്ഫോക് ദ്വീപ
ನೈಜೀರಿಯಾ	നൈജീരിയാ
ನಿಕಾರಾಗುವಾ	നികാരാഗുവാ
ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	നെദര്‌ല്യാംഡ്സ്
ನಾರ್ವೇ	നാര്വേ
ನೇಪಾಳ	നേപാള
ನೌರು	നൌരു
ನಿಯು	നിയു
ನ್ಯೂಜಿಲೆಂಡ್	ന്യൂജിലെംഡ്
ಓಮನ್	ഓമന്
ಪನಾಮಾ	പനാമാ
ಪೆರು	പെരു
ಫ್ರೆಂಚ್ ಪಾಲಿನೇಷ್ಯಾ	ഫ്രെംച് പാലിനേഷ്യാ
ಪಪುವಾ ನ್ಯೂಗಿನಿಯಾ	പപുവാ ന്യൂഗിനിയാ
ಫಿಲಿಫೈನ್ಸ್	ഫിലിഫൈന്സ്
ಪಾಕಿಸ್ತಾನ	പാകിസ്താന
ಪೋಲ್ಯಾಂಡ್	പോല്യാംഡ്
ಸೇಂಟ್ ಪಿಯರೆ ಮತ್ತು ಮಿಕೆಲನ್	സേംട് പിയരെ മത്തു മികെലന്
ಪಿಟ್‌ಕೈರ್ನ್ ದ್ವೀಪಗಳು	പിട്‌കൈര്ന് ദ്വീപഗളു
ಪ್ಯೂರ್ಟೋ ರಿಕೊ	പ്യൂര്ടോ രികൊ
ಪ್ಯಾಲೇಸ್ಟೇನಿಯನ್ ಪ್ರದೇಶ	പ്യാലേസ്ടേനിയന് പ്രദേശ
ಪ್ಯಾಲೆಸ್ಟೇನ್	പ്യാലെസ്ടേന്
ಪೋರ್ಚುಗಲ್	പോര്ചുഗല്
ಪಲಾವು	പലാവു
ಪರಾಗ್ವೇ	പരാഗ്വേ
ಖತಾರ್	ഖതാര്
ಔಟ್ ಲೈಯಿಂಗ್ ಓಷಿಯಾನಿಯಾ	ഔട് ലൈയിംഗ് ഓഷിയാനിയാ
ರೀಯೂನಿಯನ್	രീയൂനിയന്
ರೊಮೇನಿಯಾ	രൊമേനിയാ
ಸೆರ್ಬಿಯಾ	സെര്ബിയാ
ರಷ್ಯಾ	രഷ്യാ
ರುವಾಂಡಾ	രുവാംഡാ
ಸೌದಿ ಅರೇಬಿಯಾ	സൌദി അരേബിയാ
ಸೊಲೊಮನ್ ದ್ವೀಪಗಳು	സൊലൊമന് ദ്വീപഗളു
ಸೀಶೆಲ್ಲೆಸ್	സീശെല്ലെസ്
ಸೂಡಾನ್	സൂഡാന്
ಸ್ವೀಡನ್	സ്വീഡന്
ಸಿಂಗಾಪುರ್	സിംഗാപുര്
ಸೇಂಟ್ ಹೆಲೆನಾ	സേംട് ഹെലെനാ
ಸ್ಲೋವೇನಿಯಾ	സ്ലോവേനിയാ
ಸ್ವಾಲ್ಬಾರ್ಡ್ ಮತ್ತು ಜಾನ್ ಮೆಯನ್	സ്വാല്ബാര്ഡ് മത്തു ജാന് മെയന്
ಸ್ಲೋವೇಕಿಯಾ	സ്ലോവേകിയാ
ಸಿಯೆರ್ರಾ ಲಿಯೋನ್	സിയെര്രാ ലിയോന്
ಸ್ಯಾನ್ ಮೆರಿನೋ	സ്യാന് മെരിനോ
ಸೆನೆಗಲ್	സെനെഗല്
ಸೊಮಾಲಿಯಾ	സൊമാലിയാ
ಸುರಿನಾಮ	സുരിനാമ
ದಕ್ಷಿಣ ಸೂಡಾನ್	ദക്ഷിണ സൂഡാന്
ಸಾವೋ ಟೋಮ್ ಮತ್ತು ಪ್ರಿನ್ಸಿಪಿ	സാവോ ടോമ് മത്തു പ്രിന്സിപി
ಎಲ್ ಸಾಲ್ವೇಡಾರ್	എല് സാല്വേഡാര്
ಸಿಂಟ್ ಮಾರ್ಟೆನ್	സിംട് മാര്ടെന്
ಸಿರಿಯಾ	സിരിയാ
ಸ್ವಾಜಿಲ್ಯಾಂಡ್	സ്വാജില്യാംഡ്
ಟ್ರಿಸ್ತನ್ ಡಾ ಕುನ್ಹಾ	ട്രിസ്തന് ഡാ കുന്ഹാ
ಟರ್ಕ್ಸ್ ಮತ್ತು ಕೈಕೋಸ್ ದ್ವೀಪಗಳು	ടര്ക്സ് മത്തു കൈകോസ് ദ്വീപഗളു
ಚಾದ್	ചാദ്
ಫ್ರೆಂಚ್ ದಕ್ಷಿಣ ಪ್ರದೇಶಗಳು	ഫ്രെംച് ദക്ഷിണ പ്രദേശഗളു
ಟೋಗೋ	ടോഗോ
ಥೈಲ್ಯಾಂಡ್	ഥൈല്യാംഡ്
ತಜಾಕಿಸ್ಥಾನ್	തജാകിസ്ഥാന്
ಟೊಕೆಲಾವ್	ടൊകെലാവ്
ಪೂರ್ವ ತಿಮೋರ್	പൂര്വ തിമോര്
ಈಸ್ಟ್ ಟಿಮೋರ್	ഈസ്ട് ടിമോര്
ತುರ್ಕ್ಮೇನಿಸ್ಥಾನ್	തുര്ക്മേനിസ്ഥാന്
ಟುನಿಶಿಯಾ	ടുനിശിയാ
ಟೊಂಗ	ടൊംഗ
ಟರ್ಕಿ	ടര്കി
ಟ್ರಿನಿಡಾಡ್ ಮತ್ತು ಟೊಬಾಗೊ	ട്രിനിഡാഡ് മത്തു ടൊബാഗൊ
ಟುವಾಲು	ടുവാലു
ಥೈವಾನ್	ഥൈവാന്
ತಾಂಜೇನಿಯಾ	താംജേനിയാ
ಉಕ್ರೈನ್	ഉക്രൈന്
ಉಗಾಂಡಾ	ഉഗാംഡാ
ಅಮೇರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ	അമേരികാ സംയുക്ത സംസ്ഥാന
ಉರುಗ್ವೇ	ഉരുഗ്വേ
ಉಜ್ಬೇಕಿಸ್ಥಾನ್	ഉജ്ബേകിസ്ഥാന്
ವ್ಯಾಟಿಕನ್	വ്യാടികന്
ವೆನೆಜುವೆಲಾ	വെനെജുവെലാ
ಬ್ರಿಟಿಷ್ ವರ್ಜಿನ್ ದ್ವೀಪಗಳು	ബ്രിടിഷ് വര്ജിന് ദ്വീപഗളു
ವಿಯೇಟ್ನಾಮ್	വിയേട്നാമ്
ವನೌಟು	വനൌടു
ವಾಲಿಸ್ ಮತ್ತು ಫುಟುನಾ	വാലിസ് മത്തു ഫുടുനാ
ಸಮೋವಾ	സമോവാ
ಕೊಸೊವೊ	കൊസൊവൊ
ಯೆಮನ್	യെമന്
ಮಯೊಟ್ಟೆ	മയൊട്ടെ
ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ	ദക്ഷിണ ആഫ്രികാ
ಝಾಂಬಿಯಾ	ഝാംബിയാ
ಜಿಂಬಾಬ್ವೆ	ജിംബാബ്വെ
ಅಜ್ಞಾತ ಪ್ರದೇಶ	അജ്ഞാത പ്രദേശ
