# Baby names
ਅਂਗਦ	aṅgada
ਕੇਮੈਨ ਟਾਪੂ	kēmaina ṭāpū
ਕਜ਼ਾਖਸਤਾਨ	kazākhasatāna
ਲਾਓਸ	lā'ōsa
ਲੈਬਨਾਨ	laibanāna
ਸੇਂਟ ਲੂਸੀਆ	sēṇṭa lūsī'ā
ਲਿਚੇਂਸਟਾਇਨ	licēnsaṭā'ina
ਸ੍ਰੀ ਲੰਕਾ	srī lakā
ਲਾਈਬੀਰੀਆ	lā'ībīrī'ā
ਲੇਸੋਥੋ	lēsōthō
ਲਿਥੁਆਨੀਆ	lithu'ānī'ā
ਲਕਜ਼ਮਬਰਗ	lakazamabaraga
ਲਾਟਵੀਆ	lāṭavī'ā
ਲੀਬੀਆ	lībī'ā
ਮੋਰੱਕੋ	mōrakō
ਮੋਨਾਕੋ	mōnākō
ਮੋਲਡੋਵਾ	mōlaḍōvā
ਮੋਂਟੇਨੇਗਰੋ	mōṇṭēnēgarō
ਸੇਂਟ ਮਾਰਟਿਨ	sēṇṭa māraṭina
ਮੈਡਾਗਾਸਕਰ	maiḍāgāsakara
ਮਾਰਸ਼ਲ ਟਾਪੂ	māraśala ṭāpū
ਮੈਕਡੋਨੀਆ	maikaḍōnī'ā
ਮੈਕਡੋਨੀਆ (ਪੂਰਵ ਯੂਗੋਸਲਾਵ ਮੈਕਡੋਨੀਆਈ ਗਣਰਾਜ)	maikaḍōnī'ā (pūrava yūgōsalāva maikaḍōnī'ā'ī gaṇarāja)
ਮਾਲੀ	mālī
ਮਿਆਂਮਾਰ (ਬਰਮਾ)	mi'āmmāra (baramā)
ਮੰਗੋਲੀਆ	magōlī'ā
ਮਕਾਉ ਐਸਏਆਰ ਚੀਨ	makā'u aisa'ē'āra cīna
ਮਕਾਉ	makā'u
ਉੱਤਰੀ ਮਾਰੀਆਨਾ ਟਾਪੂ	utarī mārī'ānā ṭāpū
ਮਾਰਟੀਨਿਕ	māraṭīnika
ਮੋਰਿਟਾਨੀਆ	mōriṭānī'ā
ਮੋਂਟਸੇਰਾਤ	mōṇṭasērāta
ਮਾਲਟਾ	mālaṭā
ਮੌਰਿਸ਼ਸ	mauriśasa
ਮਾਲਦੀਵ	māladīva
ਮਲਾਵੀ	malāvī
ਮੈਕਸੀਕੋ	maikasīkō
ਮਲੇਸ਼ੀਆ	malēśī'ā
ਮੋਜ਼ਾਮਬੀਕ	mōzāmabīka
ਨਾਮੀਬੀਆ	nāmībī'ā
ਨਿਊ ਕੈਲੇਡੋਨੀਆ	ni'ū kailēḍōnī'ā
ਨਾਈਜਰ	nā'ījara
ਨੋਰਫੌਕ ਟਾਪੂ	nōraphauka ṭāpū
ਨਾਈਜੀਰੀਆ	nā'ījīrī'ā
ਨਿਕਾਰਾਗੁਆ	nikārāgu'ā
ਨੀਦਰਲੈਂਡ	nīdaralaiṇḍa
ਨਾਰਵੇ	nāravē
ਨੇਪਾਲ	nēpāla
ਨਾਉਰੂ	nā'urū
ਨਿਯੂ	niyū
ਨਿਊਜ਼ੀਲੈਂਡ	ni'ūzīlaiṇḍa
ਓਮਾਨ	ōmāna
ਪਨਾਮਾ	panāmā
ਪੇਰੂ	pērū
ਫਰੈਂਚ ਪੋਲੀਨੇਸ਼ੀਆ	pharain̄ca pōlīnēśī'ā
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	pāpū'ā ni'ū ginī
ਫਿਲੀਪੀਂਸ	philīpīnsa
ਪਾਕਿਸਤਾਨ	pākisatāna
ਪੋਲੈਂਡ	pōlaiṇḍa
ਸੈਂਟ ਪੀਅਰੇ ਐਂਡ ਮਿਕੇਲਨ	saiṇṭa pī'arē aiṇḍa mikēlana
ਪਿਟਕੇਰਨ ਟਾਪੂ	piṭakērana ṭāpū
ਪਿਊਰਟੋ ਰਿਕੋ	pi'ūraṭō rikō
ਫਿਲੀਸਤੀਨੀ ਖੇਤਰ	philīsatīnī khētara
ਫਿਲੀਸਤੀਨ	philīsatīna
ਪੁਰਤਗਾਲ	puratagāla
ਪਲਾਉ	palā'u
ਪੈਰਾਗਵੇ	pairāgavē
ਕਤਰ	katara
ਆਊਟਲਾਇੰਗ ਓਸ਼ੀਨੀਆ	ā'ūṭalā'iga ōśīnī'ā
ਰਿਯੂਨੀਅਨ	riyūnī'ana
ਰੋਮਾਨੀਆ	rōmānī'ā
ਸਰਬੀਆ	sarabī'ā
ਰੂਸ	rūsa
ਰਵਾਂਡਾ	ravāṇḍā
ਸਾਊਦੀ ਅਰਬ	sā'ūdī araba
ਸੋਲੋਮਨ ਟਾਪੂ	sōlōmana ṭāpū
ਸੇਸ਼ਲਸ	sēśalasa
ਸੂਡਾਨ	sūḍāna
ਸਵੀਡਨ	savīḍana
ਸਿੰਗਾਪੁਰ	sigāpura
ਸੇਂਟ ਹੇਲੇਨਾ	sēṇṭa hēlēnā
ਸਲੋਵੇਨੀਆ	salōvēnī'ā
ਸਵਾਲਬਰਡ ਅਤੇ ਜਾਨ ਮਾਯੇਨ	savālabaraḍa atē jāna māyēna
ਸਲੋਵਾਕੀਆ	salōvākī'ā
ਸਿਏਰਾ ਲਿਓਨ	si'ērā li'ōna
ਸੈਨ ਮਰੀਨੋ	saina marīnō
ਸੇਨੇਗਲ	sēnēgala
ਸੋਮਾਲੀਆ	sōmālī'ā
ਸੂਰੀਨਾਮ	sūrīnāma
ਦੱਖਣੀ ਸੂਡਾਨ	dakhaṇī sūḍāna
ਸਾਓ ਟੋਮ ਅਤੇ ਪ੍ਰਿੰਸੀਪੇ	sā'ō ṭōma atē prisīpē
ਅਲ ਸਲਵਾਡੋਰ	ala salavāḍōra
ਸਿੰਟ ਮਾਰਟੀਨ	siṭa māraṭīna
ਸੀਰੀਆ	sīrī'ā
ਸਵਾਜ਼ੀਲੈਂਡ	savāzīlaiṇḍa
ਟ੍ਰਿਸਟਾਨ ਦਾ ਕੁੰਹਾ	ṭrisaṭāna dā kuhā
ਟੁਰਕਸ ਅਤੇ ਕੈਕੋਸ ਟਾਪੂ	ṭurakasa atē kaikōsa ṭāpū
ਚਾਡ	cāḍa
ਫਰੈਂਚ ਦੱਖਣੀ ਪ੍ਰਦੇਸ਼	pharain̄ca dakhaṇī pradēśa
ਟੋਗੋ	ṭōgō
ਥਾਈਲੈਂਡ	thā'īlaiṇḍa
ਤਾਜਿਕਿਸਤਾਨ	tājikisatāna
ਟੋਕੇਲਾਉ	ṭōkēlā'u
ਤਿਮੋਰ-ਲੇਸਤੇ	timōra-lēsatē
ਪੂਰਬੀ ਤਿਮੋਰ	pūrabī timōra
ਤੁਰਕਮੇਨਿਸਤਾਨ	turakamēnisatāna
ਟਿਊਨੀਸ਼ੀਆ	ṭi'ūnīśī'ā
ਟੌਂਗਾ	ṭauṅgā
ਤੁਰਕੀ	turakī
ਟ੍ਰਿਨੀਡਾਡ ਅਤੇ ਟੋਬਾਗੋ	ṭrinīḍāḍa atē ṭōbāgō
ਟੁਵਾਲੂ	ṭuvālū
ਤਾਇਵਾਨ	tā'ivāna
ਤਨਜ਼ਾਨੀਆ	tanazānī'ā
ਯੂਕਰੇਨ	yūkarēna
ਯੂਗਾਂਡਾ	yūgāṇḍā
ਸੰਯੁਕਤ ਰਾਜ	sayukata rāja
ਉਰੂਗਵੇ	urūgavē
ਉਜ਼ਬੇਕਿਸਤਾਨ	uzabēkisatāna
ਵੈਟੀਕਨ ਸਿਟੀ	vaiṭīkana siṭī
ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ	sēṇṭa vinasaiṇṭa aiṇḍa grēnāḍīnasa
ਵੇਨੇਜ਼ੂਏਲਾ	vēnēzū'ēlā
ਬ੍ਰਿਟਿਸ਼ ਵਰਜਿਨ ਟਾਪੂ	briṭiśa varajina ṭāpū
ਯੂ ਐਸ ਵਰਜਿਨ ਟਾਪੂ	yū aisa varajina ṭāpū
ਵੀਅਤਨਾਮ	vī'atanāma
ਵਾਨੂਆਟੂ	vānū'āṭū
ਵਾਲਿਸ ਅਤੇ ਫੂਟੂਨਾ	vālisa atē phūṭūnā
ਸਾਮੋਆ	sāmō'ā
ਕੋਸੋਵੋ	kōsōvō
ਯਮਨ	yamana
ਮਾਯੋਟੀ	māyōṭī
ਦੱਖਣੀ ਅਫਰੀਕਾ	dakhaṇī apharīkā
ਜ਼ਾਮਬੀਆ	zāmabī'ā
ਜ਼ਿੰਬਾਬਵੇ	zibābavē
ਅਣਪਛਾਤਾ ਖੇਤਰ	aṇapachātā khētara
